0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:17 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 200 233784
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:18 -0500] "OPTIONS /TrackForce/batches/withindates/?start=1463356800000&end=1542326400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:24 -0500] "OPTIONS /TrackForce/batches/withindates/?start=1534447704339&end=1534447704339 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:24 -0500] "GET /TrackForce/batches/withindates/?start=1534447704339&end=1534447704339 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:25 -0500] "GET /TrackForce/batches/withindates/?start=1463356800000&end=1542326400000 HTTP/1.1" 200 28048
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:35 -0500] "OPTIONS /TrackForce/batches/withindates/?start=1534447715069&end=1534447715069 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:35 -0500] "GET /TrackForce/batches/withindates/?start=1534447715069&end=1534447715069 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:50 -0500] "OPTIONS /TrackForce/associates/nass HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:50 -0500] "OPTIONS /TrackForce/associates/allAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:50 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:28:56 -0500] "GET /TrackForce/associates/nass HTTP/1.1" 200 77984
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:00 -0500] "GET /TrackForce/clients HTTP/1.1" 200 49056
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:03 -0500] "GET /TrackForce/associates/allAssociates HTTP/1.1" 200 233784
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:08 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:08 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:14 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:14 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:19 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:19 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:19 -0500] "OPTIONS /TrackForce/associates/69252 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:20 -0500] "GET /TrackForce/associates/69252 HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:20 -0500] "OPTIONS /TrackForce/associates/69252 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:20 -0500] "GET /TrackForce/associates/69252 HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:22 -0500] "OPTIONS /TrackForce/clients HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:22 -0500] "OPTIONS /TrackForce/associates/69252 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:22 -0500] "GET /TrackForce/associates/69252 HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:22 -0500] "OPTIONS /TrackForce/interviews/5251 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:23 -0500] "GET /TrackForce/interviews/5251 HTTP/1.1" 200 27820
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:29:30 -0500] "GET /TrackForce/clients HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:35:43 -0500] "OPTIONS /TrackForce/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:35:43 -0500] "POST /TrackForce/users/login HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:35:43 -0500] "OPTIONS /TrackForce/associates/countAssociates HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:14:35:44 -0500] "GET /TrackForce/associates/countAssociates HTTP/1.1" 200 44
